date,category,amount,notes,transaction_type,payment_mode,clean_notes
05/12/2024,education,44031.0,Online course,Income,Bank Transfer,online course
2022-02-17,education,47473.0,Online course,Expense,Bank Transfer,online course
12/06/2021,health,75822.0,Medicine,Income,Cash,medicine
10/26/2021,health,677.0,Medicine,Expense,Bank Transfer,medicine
11/14/2022,health,6348.0,Medicine,Expense,Card,medicine
13-07-24,food,4583.0,Lunch,Expense,Bank Transfer,lunch
10/18/2021,food,4952.0,ATM withdrawal,Expense,Cash,atm withdrawal
03-11-24,food,3941.0,Lunch,Expense,Bank Transfer,lunch
19-06-21,utility,1998.0,Internet bill,Expense,UPI,internet bill
04-04-2023,food,276.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2021-01-09,travel,7391.0,Uber ride,Expense,Cash,uber ride
05/31/2023,travel,2990.0,Train ticket,Expense,UPI,train ticket
2022-12-24,food,2230.0,ATM withdrawal,Expense,unknown,atm withdrawal
06-05-2021,food,6502.0,Shopping,Expense,Card,shopping
07-11-21,travel,6902.0,Petrol,Expense,Card,petrol
12/30/2022,utility,1518.0,Electricity bill,Expense,Bank Transfer,electricity bill
06-03-2021,food,2985.0,Restaurant dinner,Expense,Cash,restaurant dinner
27-12-2024,health,6671.0,Doctor consultation,Expense,UPI,doctor consultation
03/24/2021,health,6324.0,Gym membership,Expense,Card,gym membership
12/15/2022,utility,23504.0,Electricity bill,Income,Bank Transfer,electricity bill
04/19/2024,food,1064.0,Books,Expense,Cash,books
11/30/2023,utility,5022.0,Internet bill,Expense,Cash,internet bill
2024-06-10,health,33565.0,Gym membership,Income,Cash,gym membership
11/04/2024,food,66678.0,EMI payment,Income,Bank Transfer,emi payment
03-05-2024,food,6304.0,Fixed deposit,Expense,UPI,fixed deposit
20-03-24,rent,2603.0,Monthly rent payment,Expense,Cash,monthly rent payment
12/22/2023,travel,314.0,Train ticket,Expense,Cash,train ticket
2024-10-30,travel,9806.0,Petrol,Expense,Bank Transfer,petrol
03/15/2021,food,9891.0,Grocery shopping,Expense,UPI,grocery shopping
10-07-2021,health,6766.0,Gym membership,Expense,Card,gym membership
04-01-21,food,3765.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
31-01-22,food,31183.0,Shopping,Income,Bank Transfer,shopping
2023-04-13,rent,775.0,Monthly rent payment,Expense,UPI,monthly rent payment
02/21/2021,health,23340.0,Doctor consultation,Expense,Card,doctor consultation
2022-07-19,food,40813.0,Books,Expense,UPI,books
31-03-22,food,2033.0,EMI payment,Expense,UPI,emi payment
11/30/2023,food,44932.0,Lunch,Income,Bank Transfer,lunch
2024-12-30,food,8592.0,Lunch,Expense,Cash,lunch
16-10-21,travel,8152.0,Uber ride,Expense,UPI,uber ride
04-06-24,food,4603.0,EMI payment,Expense,Bank Transfer,emi payment
12-05-22,health,27792.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
06-10-2022,health,6691.0,Doctor consultation,Expense,Card,doctor consultation
2022-04-05,food,5935.0,Coffee,Expense,Bank Transfer,coffee
2021-10-19,food,6484.0,Fixed deposit,Expense,UPI,fixed deposit
18-02-2024,health,2398.0,Medicine,Expense,Bank Transfer,medicine
08/30/2023,food,28207.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
08-06-23,travel,10749.0,Uber ride,Expense,Cash,uber ride
2023-05-21,food,2232.0,Books,Expense,unknown,books
03/30/2022,food,8161.0,Restaurant dinner,Expense,Card,restaurant dinner
02-12-2022,education,14180.0,Online course,Income,Cash,online course
11-08-2024,rent,8479.0,Monthly rent payment,Expense,UPI,monthly rent payment
2023-11-05,health,5292.0,Gym membership,Expense,Bank Transfer,gym membership
09/01/2023,rent,8943.0,Monthly rent payment,Expense,Card,monthly rent payment
22-11-2022,food,3159.0,ATM withdrawal,Expense,Card,atm withdrawal
04-06-23,travel,4331.0,Train ticket,Expense,Cash,train ticket
2021-08-03,food,74243.0,Shopping,Income,Cash,shopping
2023-10-17,food,8640.0,Coffee,Expense,Cash,coffee
2021-06-25,travel,9784.0,Uber ride,Expense,Card,uber ride
26-12-2021,utility,45093.0,Electricity bill,Expense,Card,electricity bill
04/21/2021,food,2130.0,Restaurant dinner,Expense,UPI,restaurant dinner
2023-02-21,food,4816.0,Lunch,Expense,UPI,lunch
10/05/2023,travel,2247.0,Uber ride,Expense,Card,uber ride
2022-06-13,food,6610.0,Restaurant dinner,Expense,Cash,restaurant dinner
02-03-21,food,5305.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
18-05-22,food,7183.0,Shopping,Expense,Cash,shopping
2024-07-15,utility,5749.0,Internet bill,Expense,Cash,internet bill
26-10-2021,travel,5542.0,Petrol,Expense,Card,petrol
14-09-22,food,3429.0,Lunch,Expense,Card,lunch
2021-06-23,travel,237.0,Petrol,Expense,Bank Transfer,petrol
18-08-22,food,8231.0,Lunch,Expense,UPI,lunch
2022-01-26,food,5756.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
16-03-23,health,41720.0,Doctor consultation,Income,Bank Transfer,doctor consultation
2024-10-04,food,287.0,Restaurant dinner,Expense,Card,restaurant dinner
12/30/2021,food,57828.0,Shopping,Income,UPI,shopping
12/08/2021,education,2186.0,Online course,Expense,Card,online course
05/03/2023,health,2272.0,Gym membership,Expense,Bank Transfer,gym membership
02/05/2024,food,4549.0,ATM withdrawal,Expense,Cash,atm withdrawal
2021-11-26,travel,21603.0,Petrol,Expense,Cash,petrol
09/09/2023,health,8634.0,Gym membership,Expense,Bank Transfer,gym membership
2024-05-21,health,1006.0,Medicine,Expense,UPI,medicine
01/12/2021,rent,4005.0,Monthly rent payment,Expense,Cash,monthly rent payment
01/16/2023,food,178518.0,Shopping,Income,Bank Transfer,shopping
2021-01-12,food,8687.0,Coffee,Expense,unknown,coffee
2022-12-07,entertainment,57170.0,Movie tickets,Income,UPI,movie tickets
04-07-22,food,9675.0,Restaurant dinner,Expense,Cash,restaurant dinner
04/21/2022,food,4895.0,Fixed deposit,Expense,UPI,fixed deposit
2024-01-31,food,21355.0,EMI payment,Income,Bank Transfer,emi payment
10/07/2023,health,2824.0,Doctor consultation,Expense,UPI,doctor consultation
2024-09-20,food,8548.0,ATM withdrawal,Expense,unknown,atm withdrawal
03/03/2023,health,700.0,Gym membership,Expense,Bank Transfer,gym membership
2023-05-15,entertainment,5988.0,Movie tickets,Expense,Bank Transfer,movie tickets
2021-05-15,food,5549.0,Fixed deposit,Expense,UPI,fixed deposit
2022-07-15,food,44898.0,Coffee,Expense,Cash,coffee
16-07-2023,food,3221.0,ATM withdrawal,Expense,UPI,atm withdrawal
12-08-21,utility,1037.0,Electricity bill,Expense,Cash,electricity bill
06/15/2021,food,999.0,Fixed deposit,Expense,Cash,fixed deposit
08-11-22,utility,43737.0,Internet bill,Income,UPI,internet bill
2021-01-30,travel,45894.0,Petrol,Expense,Bank Transfer,petrol
08/22/2022,travel,5011.0,Uber ride,Expense,UPI,uber ride
13-07-23,food,2082.0,Grocery shopping,Expense,Cash,grocery shopping
2022-08-02,utility,6260.0,Electricity bill,Expense,Card,electricity bill
31-03-21,utility,3645.0,Internet bill,Expense,unknown,internet bill
19-06-22,food,3833.0,EMI payment,Expense,Card,emi payment
2024-12-07,health,12316.0,Medicine,Expense,Cash,medicine
2024-04-11,food,6832.0,Fixed deposit,Expense,Cash,fixed deposit
12/20/2023,food,5622.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
05/13/2022,food,301.0,Grocery shopping,Expense,Card,grocery shopping
10/05/2024,health,3830.0,Gym membership,Expense,Card,gym membership
18-10-21,health,2985.0,Gym membership,Expense,UPI,gym membership
01/27/2021,entertainment,79870.0,Movie tickets,Income,UPI,movie tickets
02/12/2023,food,4426.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
07/26/2024,food,3640.0,EMI payment,Expense,UPI,emi payment
08/01/2023,travel,7174.0,Uber ride,Expense,UPI,uber ride
24-03-23,food,1606.0,Fixed deposit,Expense,UPI,fixed deposit
23-11-22,travel,886.0,Train ticket,Expense,Cash,train ticket
12/08/2022,utility,4201.0,Electricity bill,Expense,Cash,electricity bill
23-02-2024,food,655.0,ATM withdrawal,Expense,Bank Transfer,atm withdrawal
2023-03-10,health,61598.0,Medicine,Income,Cash,medicine
10/16/2022,food,44066.0,Grocery shopping,Income,Cash,grocery shopping
2024-12-12,entertainment,224611.0,Movie tickets,Income,UPI,movie tickets
01-02-2024,health,174110.0,Gym membership,Income,Card,gym membership
2024-09-21,education,2044.0,Online course,Expense,Bank Transfer,online course
2021-05-19,utility,1115.0,Internet bill,Expense,Card,internet bill
2021-10-09,health,2017.0,Medicine,Expense,Bank Transfer,medicine
05/28/2021,health,2053.0,Gym membership,Expense,Bank Transfer,gym membership
15-01-22,health,9635.0,Gym membership,Expense,Cash,gym membership
2023-07-17,travel,392.0,Uber ride,Expense,Bank Transfer,uber ride
12/10/2024,travel,26916.0,Petrol,Expense,Cash,petrol
2022-08-10,rent,24394.0,Monthly rent payment,Income,UPI,monthly rent payment
14-10-2021,health,67910.0,Gym membership,Income,Cash,gym membership
20-07-24,health,9531.0,Gym membership,Expense,UPI,gym membership
09/26/2021,education,2511.0,Online course,Expense,Card,online course
2023-09-11,utility,7734.0,Internet bill,Expense,Cash,internet bill
16-06-24,food,1461.0,Coffee,Expense,UPI,coffee
10/12/2024,food,2398.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
03/21/2024,food,33170.0,Restaurant dinner,Income,Card,restaurant dinner
2023-09-24,food,7858.0,Grocery shopping,Expense,unknown,grocery shopping
2024-10-30,food,3913.0,Shopping,Expense,Card,shopping
2022-12-09,food,5279.0,Lunch,Expense,Cash,lunch
20-08-24,food,2060.0,Fixed deposit,Expense,UPI,fixed deposit
2024-12-01,food,7717.0,ATM withdrawal,Expense,unknown,atm withdrawal
2024-08-03,food,1574.0,ATM withdrawal,Expense,Card,atm withdrawal
2024-01-10,health,552.0,Medicine,Expense,Card,medicine
2021-05-22,food,30473.0,Shopping,Income,Bank Transfer,shopping
11/25/2023,travel,5535.0,Train ticket,Expense,Card,train ticket
11-12-23,travel,44802.0,Uber ride,Income,Card,uber ride
01/03/2023,health,9188.0,Medicine,Expense,Card,medicine
08-09-21,food,8716.0,Books,Expense,Bank Transfer,books
2023-06-28,food,39845.0,Restaurant dinner,Expense,Cash,restaurant dinner
25-02-21,travel,18231.0,Train ticket,Income,UPI,train ticket
06/05/2022,food,9636.0,Grocery shopping,Expense,Cash,grocery shopping
03/30/2024,food,7121.0,Fixed deposit,Expense,Cash,fixed deposit
09/23/2023,food,5447.0,Shopping,Expense,UPI,shopping
2024-10-26,travel,2163.0,Uber ride,Expense,Card,uber ride
2022-02-13,health,19467.0,Gym membership,Expense,Bank Transfer,gym membership
05/16/2024,food,7761.0,Coffee,Expense,Cash,coffee
03/02/2024,food,8138.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
2023-11-22,food,13959.0,ATM withdrawal,Income,Cash,atm withdrawal
2022-11-17,travel,3084.0,Train ticket,Expense,Cash,train ticket
2023-12-21,food,7874.0,EMI payment,Expense,Bank Transfer,emi payment
01/23/2024,health,7174.0,Medicine,Expense,UPI,medicine
07/12/2023,health,4771.0,Medicine,Expense,Bank Transfer,medicine
09/28/2023,health,5045.0,Gym membership,Expense,Cash,gym membership
2021-01-11,utility,29287.0,Internet bill,Expense,Card,internet bill
06/23/2022,food,9991.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
05/29/2022,entertainment,4955.0,Movie tickets,Expense,Card,movie tickets
02/15/2022,health,3607.0,Medicine,Expense,Card,medicine
04/28/2024,travel,1453.0,Train ticket,Expense,Card,train ticket
08-10-22,food,9369.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2022-05-31,travel,2186.0,Train ticket,Expense,Bank Transfer,train ticket
08/31/2022,food,388.0,Shopping,Expense,Card,shopping
09-05-2022,food,3756.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
08/19/2024,food,36129.0,Books,Income,UPI,books
08-01-21,food,384.0,Coffee,Expense,Bank Transfer,coffee
07/14/2022,health,3700.0,Doctor consultation,Expense,Card,doctor consultation
26-04-2022,rent,3901.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
06/09/2022,travel,63348.0,Petrol,Income,Card,petrol
12/12/2024,utility,45361.0,Electricity bill,Income,Card,electricity bill
08/20/2021,education,236.0,Online course,Expense,Cash,online course
14-12-23,food,6168.0,Lunch,Expense,unknown,lunch
2021-03-26,food,6798.0,Shopping,Expense,Cash,shopping
2021-04-06,food,4051.0,Grocery shopping,Expense,Card,grocery shopping
30-09-24,food,7998.0,EMI payment,Expense,UPI,emi payment
10-09-23,entertainment,1255.0,Movie tickets,Expense,Bank Transfer,movie tickets
04-01-2021,food,2799.0,Shopping,Expense,Cash,shopping
2022-01-21,food,1099.0,Books,Expense,Bank Transfer,books
2022-11-13,health,5642.0,Gym membership,Expense,Card,gym membership
17-12-2023,health,1180.0,Medicine,Expense,Bank Transfer,medicine
2023-05-10,travel,6358.0,Uber ride,Expense,Card,uber ride
15-08-22,food,5345.0,EMI payment,Expense,Bank Transfer,emi payment
04/30/2021,travel,702.0,Petrol,Expense,Bank Transfer,petrol
20-12-2023,entertainment,7292.0,Movie tickets,Expense,UPI,movie tickets
2022-10-11,food,941.0,Fixed deposit,Expense,Cash,fixed deposit
2024-11-17,travel,6574.0,Petrol,Expense,UPI,petrol
2024-11-26,food,409.0,ATM withdrawal,Expense,UPI,atm withdrawal
14-10-21,food,0.0,Restaurant dinner,Expense,Bank Transfer,restaurant dinner
2023-12-14,food,3903.0,Grocery shopping,Expense,Cash,grocery shopping
09/05/2022,food,1980.0,Lunch,Expense,Cash,lunch
09-04-21,utility,7818.0,Internet bill,Expense,UPI,internet bill
2022-01-25,travel,20509.0,Train ticket,Expense,Bank Transfer,train ticket
04/03/2022,entertainment,6682.0,Movie tickets,Expense,Cash,movie tickets
08/23/2021,utility,8859.0,Internet bill,Expense,Cash,internet bill
11-06-2023,food,35719.0,Fixed deposit,Income,UPI,fixed deposit
09/23/2023,health,2318.0,Gym membership,Expense,Bank Transfer,gym membership
2023-03-15,food,8158.0,ATM withdrawal,Expense,Card,atm withdrawal
08/16/2021,health,1702.0,Medicine,Expense,UPI,medicine
2023-06-28,travel,6760.0,Uber ride,Expense,Bank Transfer,uber ride
21-04-2023,food,8201.0,Shopping,Expense,UPI,shopping
2021-03-04,rent,3219.0,Monthly rent payment,Expense,UPI,monthly rent payment
2021-08-28,health,1008.0,Medicine,Expense,UPI,medicine
2023-09-23,travel,1372.0,Train ticket,Expense,Card,train ticket
13-09-23,food,56971.0,Coffee,Income,Cash,coffee
2024-01-06,utility,2774.0,Internet bill,Expense,Bank Transfer,internet bill
05-11-21,health,4941.0,Medicine,Expense,Bank Transfer,medicine
04/21/2024,health,2043.0,Gym membership,Expense,Cash,gym membership
06/26/2024,food,6574.0,Coffee,Expense,Cash,coffee
28-07-2022,health,2392.0,Gym membership,Expense,Bank Transfer,gym membership
2024-12-23,rent,6626.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
2022-07-30,food,37631.0,Fixed deposit,Income,Card,fixed deposit
21-12-23,food,38973.0,Fixed deposit,Expense,UPI,fixed deposit
2023-04-11,travel,3980.0,Petrol,Expense,UPI,petrol
24-05-21,travel,8729.0,Train ticket,Expense,UPI,train ticket
30-10-2022,travel,7773.0,Petrol,Expense,Cash,petrol
17-12-2023,health,2611.0,Gym membership,Expense,Cash,gym membership
11/02/2022,food,34418.0,Books,Expense,UPI,books
24-08-21,food,4883.0,Shopping,Expense,Card,shopping
2021-06-03,health,4713.0,Doctor consultation,Expense,Cash,doctor consultation
2024-12-20,utility,14297.0,Electricity bill,Income,Bank Transfer,electricity bill
30-04-23,food,11168.0,Shopping,Income,Bank Transfer,shopping
2023-04-19,food,4677.0,EMI payment,Expense,Card,emi payment
15-07-2022,utility,59853.0,Electricity bill,Income,Card,electricity bill
2022-07-01,health,5855.0,Doctor consultation,Expense,Cash,doctor consultation
10-02-2024,rent,3444.0,Monthly rent payment,Expense,Card,monthly rent payment
12/19/2022,utility,14582.0,Internet bill,Expense,UPI,internet bill
2023-08-04,food,9155.0,EMI payment,Expense,Cash,emi payment
13-09-23,food,56971.0,Coffee,Income,Cash,coffee
2023-02-18,health,7288.0,Medicine,Expense,Card,medicine
07/14/2024,rent,4942.0,Monthly rent payment,Expense,UPI,monthly rent payment
2022-03-03,food,1443.0,Shopping,Expense,Card,shopping
24-07-2024,health,4462.0,Medicine,Expense,Bank Transfer,medicine
20-02-21,travel,4343.0,Train ticket,Expense,Card,train ticket
2021-11-04,rent,842.0,Monthly rent payment,Expense,UPI,monthly rent payment
22-07-23,health,1969.0,Gym membership,Expense,Cash,gym membership
21-10-24,health,1223.0,Gym membership,Expense,Card,gym membership
2023-01-25,food,9301.0,Coffee,Expense,Cash,coffee
02/28/2023,health,19382.0,Doctor consultation,Income,Bank Transfer,doctor consultation
2024-01-12,food,2984.0,Restaurant dinner,Expense,Card,restaurant dinner
2023-01-28,food,9399.0,ATM withdrawal,Expense,Card,atm withdrawal
2022-05-07,health,845.0,Gym membership,Expense,Card,gym membership
07/10/2022,travel,8421.0,Uber ride,Expense,Bank Transfer,uber ride
2023-04-13,food,5205.0,Shopping,Expense,Bank Transfer,shopping
05/24/2022,travel,37280.0,Uber ride,Income,UPI,uber ride
24-12-23,entertainment,4103.0,Movie tickets,Expense,Bank Transfer,movie tickets
10/17/2023,food,847.0,ATM withdrawal,Expense,Card,atm withdrawal
11-11-2021,food,49400.0,ATM withdrawal,Expense,Card,atm withdrawal
2022-04-05,food,4005.0,Fixed deposit,Expense,Cash,fixed deposit
10-08-24,health,9352.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
05/24/2021,health,2583.0,Doctor consultation,Expense,Bank Transfer,doctor consultation
2021-11-21,food,6829.0,Coffee,Expense,Card,coffee
11-06-21,health,9647.0,Gym membership,Expense,UPI,gym membership
06/30/2021,food,-1000.0,Restaurant dinner,Expense,Cash,restaurant dinner
04/24/2022,utility,7482.0,Internet bill,Expense,Card,internet bill
06/30/2022,health,9698.0,Doctor consultation,Expense,Cash,doctor consultation
02/12/2022,food,8773.0,EMI payment,Expense,Cash,emi payment
2023-06-20,education,4119.0,Online course,Expense,Cash,online course
27-09-22,rent,50800.0,Monthly rent payment,Income,UPI,monthly rent payment
16-09-23,food,1790.0,Shopping,Expense,Bank Transfer,shopping
19-09-2022,education,788.0,Online course,Expense,Cash,online course
07/02/2021,health,222939.0,Gym membership,Income,Bank Transfer,gym membership
2024-02-12,utility,76239.0,Internet bill,Income,Card,internet bill
2021-02-08,entertainment,5375.0,Movie tickets,Expense,UPI,movie tickets
01-12-21,food,4953.0,ATM withdrawal,Expense,UPI,atm withdrawal
2023-06-23,food,845.0,Restaurant dinner,Expense,UPI,restaurant dinner
2024-01-12,food,37665.0,Lunch,Income,UPI,lunch
2022-12-27,food,4039.0,EMI payment,Expense,UPI,emi payment
2022-04-16,travel,2220.0,Train ticket,Expense,Bank Transfer,train ticket
07/02/2023,entertainment,1969.0,Movie tickets,Expense,Card,movie tickets
2022-07-29,utility,50581.0,Internet bill,Income,UPI,internet bill
2022-11-19,travel,65464.0,Uber ride,Income,UPI,uber ride
2022-05-01,travel,8479.0,Uber ride,Expense,UPI,uber ride
13-04-24,food,861.0,Shopping,Expense,UPI,shopping
08/01/2024,utility,34452.0,Internet bill,Income,Card,internet bill
2023-07-24,health,9804.0,Medicine,Expense,Cash,medicine
04/02/2022,education,1690.0,Online course,Expense,Card,online course
2023-05-20,food,9727.0,Restaurant dinner,Expense,UPI,restaurant dinner
15-03-23,rent,4753.0,Monthly rent payment,Expense,Cash,monthly rent payment
03-07-2021,food,2628.0,Grocery shopping,Expense,Bank Transfer,grocery shopping
2023-01-15,education,6020.0,Online course,Expense,Card,online course
2023-12-14,rent,3123.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
2023-08-10,health,1317.0,Medicine,Expense,UPI,medicine
2024-03-01,food,2966.0,Lunch,Expense,Bank Transfer,lunch
03-07-2022,travel,2265.0,Petrol,Expense,UPI,petrol
03/07/2021,travel,1346.0,Petrol,Expense,Bank Transfer,petrol
2022-01-20,health,-500.0,Gym membership,Expense,Cash,gym membership
05/16/2023,travel,702.0,Petrol,Expense,Card,petrol
2024-03-02,travel,1505.0,Uber ride,Expense,Bank Transfer,uber ride
21-04-2023,food,4253.0,Books,Expense,Card,books
12-03-23,food,4597.0,Restaurant dinner,Expense,unknown,restaurant dinner
12-11-23,food,65471.0,Books,Income,UPI,books
2024-04-20,education,28581.0,Online course,Income,Bank Transfer,online course
2024-12-02,food,7287.0,EMI payment,Expense,UPI,emi payment
05/13/2023,health,6868.0,Medicine,Expense,Cash,medicine
11/04/2021,health,-1000.0,Medicine,Expense,Bank Transfer,medicine
2022-02-22,food,7173.0,Shopping,Expense,Bank Transfer,shopping
2021-02-23,food,2693.0,Shopping,Expense,UPI,shopping
28-09-22,travel,7900.0,Petrol,Expense,Card,petrol
2021-12-20,utility,749253.0,Electricity bill,Income,Bank Transfer,electricity bill
30-11-22,food,5094.0,Grocery shopping,Expense,Cash,grocery shopping
13-11-24,food,5316.0,Restaurant dinner,Expense,UPI,restaurant dinner
14-02-24,food,6805.0,Grocery shopping,Expense,Card,grocery shopping
2021-12-01,food,196.0,Coffee,Expense,Cash,coffee
2024-09-17,food,6954.0,Restaurant dinner,Expense,Cash,restaurant dinner
03/21/2022,food,56318.0,Lunch,Income,Cash,lunch
29-04-24,rent,8050.0,Monthly rent payment,Expense,Card,monthly rent payment
22-11-2022,food,3159.0,ATM withdrawal,Expense,Card,atm withdrawal
09-03-2021,utility,2524.0,Electricity bill,Expense,Card,electricity bill
10/18/2022,food,6244.0,Lunch,Expense,Card,lunch
20-05-2023,travel,3685.0,Petrol,Expense,Cash,petrol
11/09/2024,food,577.0,Coffee,Expense,unknown,coffee
2021-04-04,health,8458.0,Doctor consultation,Expense,Card,doctor consultation
2023-04-22,utility,8682.0,Electricity bill,Expense,Cash,electricity bill
2024-07-15,food,25294.0,Coffee,Income,Cash,coffee
02/12/2023,health,6743.0,Doctor consultation,Expense,Cash,doctor consultation
09/03/2023,food,4741.0,Fixed deposit,Expense,Bank Transfer,fixed deposit
2023-10-14,education,6098.0,Online course,Expense,Cash,online course
03/12/2022,health,7676.0,Gym membership,Expense,Cash,gym membership
07/27/2024,health,4959.0,Gym membership,Expense,Cash,gym membership
03-02-22,rent,4716.0,Monthly rent payment,Expense,Cash,monthly rent payment
08-05-22,utility,7861.0,Electricity bill,Expense,UPI,electricity bill
07/28/2024,rent,6813.0,Monthly rent payment,Expense,Bank Transfer,monthly rent payment
09/12/2023,health,2491.0,Doctor consultation,Expense,Cash,doctor consultation
2024-09-10,food,9698.0,Grocery shopping,Expense,Cash,grocery shopping
2024-01-01,food,12083.0,Restaurant dinner,Expense,Card,restaurant dinner
2023-10-17,utility,4367.0,Internet bill,Expense,Card,internet bill
12/06/2024,health,1213.0,Gym membership,Expense,Bank Transfer,gym membership
2023-05-15,food,4022.0,Shopping,Expense,Card,shopping
08/17/2023,education,1718.0,Online course,Expense,Cash,online course
2023-01-31,food,35129.0,Fixed deposit,Income,Card,fixed deposit
2024-05-27,food,9544.0,Lunch,Expense,unknown,lunch
2024-11-14,education,6601.0,Online course,Expense,Bank Transfer,online course
03/03/2022,utility,2838.0,Internet bill,Expense,Cash,internet bill
2024-04-19,travel,9907.0,Train ticket,Expense,Cash,train ticket
04/06/2022,food,5528.0,EMI payment,Expense,Card,emi payment
